response_time,trialNr,StimID,TrialType,TaskType,sliderResponse,confidence,ContextType,AnswerCertainty,AnswerPolarity,p_min,p_max,certainty_min,certainty_max,lunch,experiment_start_time,age,gender,education,languages,comments,experiment_end_time,experiment_duration
315612,1,1,practice,prior,100,2,NA,NA,NA,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
101019,2,1,practice,posterior,10,6,NA,NA,NA,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
22344,3,1,practice,relevance,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
129300,1,10,main,prior,60,3,positive,low_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
22757,2,10,main,posterior,80,5,positive,low_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
24350,3,10,main,relevance,50,NA,positive,low_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
36905,4,1,reasoning,prior,50,1,NA,NA,NA,0.4,0.6,1,4,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
18481,5,1,reasoning,posterior,50,6,NA,NA,NA,0.4,0.6,3,7,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
37169,6,11,main,prior,85,5,positive,exhaustive,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
45098,7,11,main,posterior,30,3,positive,exhaustive,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
3365,8,11,main,relevance,24,NA,positive,exhaustive,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
30728,9,3,main,prior,70,4,positive,non_answer,N/A,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
16151,10,3,main,posterior,70,4,positive,non_answer,N/A,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
3110,11,3,main,relevance,0,NA,positive,non_answer,N/A,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
49178,12,1,attention,prior,100,6,NA,NA,NA,0,0.05,6,6,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
30974,13,6,main,prior,20,5,neutral,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
11312,14,6,main,posterior,81,6,neutral,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
2848,15,6,main,relevance,83,NA,neutral,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
31728,16,2,main,prior,50,4,negative,high_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
16225,17,2,main,posterior,5,6,negative,high_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
4536,18,2,main,relevance,97,NA,negative,high_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
14830,19,2,reasoning,prior,NA,NA,NA,NA,NA,0.25,0.45,5,7,next,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
121636,20,2,reasoning,posterior,68,7,NA,NA,NA,0.55,0.75,5,7,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
36810,21,8,main,prior,24,2,neutral,exhaustive,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
13922,22,8,main,posterior,100,7,neutral,exhaustive,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
2854,23,8,main,relevance,100,NA,neutral,exhaustive,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
48930,24,5,main,prior,83,5,positive,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
9220,25,5,main,posterior,100,6,positive,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
5210,26,5,main,relevance,86,NA,positive,high_certainty,positive,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
29447,27,1,main,prior,30,4,negative,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
11132,28,1,main,posterior,60,5,negative,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
3269,29,1,main,relevance,23,NA,negative,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
52704,30,2,attention,prior,83,2,NA,NA,NA,0.75,0.85,2,2,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
50852,31,7,main,prior,60,3,positive,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
9328,32,7,main,posterior,40,4,positive,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
6912,33,7,main,relevance,56,NA,positive,low_certainty,negative,NA,NA,NA,NA,NA,1641834479441,35,female,Higher degree,English,I'm a linguist,1641844272046,9792605
