response_time,trialNr,StimID,TrialType,TaskType,sliderResponse,confidence,ContextType,AnswerCertainty,AnswerPolarity,p_min,p_max,certainty_min,certainty_max,experiment_start_time,age,gender,education,languages,experiment_end_time,experiment_duration
54069,1,1,practice,prior,50,4,NA,NA,NA,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
28960,2,1,practice,posterior,1,6,NA,NA,NA,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
11274,3,1,practice,relevance,90,NA,NA,NA,NA,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
90871,4,5,main,prior,39,3,neutral,high_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
22225,5,5,main,posterior,25,4,neutral,high_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
13584,6,5,main,relevance,50,NA,neutral,high_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
43322,7,1,reasoning,prior,50,4,NA,NA,NA,0.4,0.6,1,4,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
16708,8,1,reasoning,posterior,50,7,NA,NA,NA,0.4,0.6,3,7,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
44057,9,10,main,prior,50,5,neutral,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
32535,10,10,main,posterior,95,6,neutral,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
7692,11,10,main,relevance,95,NA,neutral,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
29124,12,9,main,prior,50,6,positive,non_answer,N/A,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
23247,13,9,main,posterior,50,6,positive,non_answer,N/A,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
7453,14,9,main,relevance,8,NA,positive,non_answer,N/A,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
39211,15,1,attention,prior,100,6,NA,NA,NA,0,0.05,6,6,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
26285,16,3,main,prior,50,5,positive,exhaustive,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
29601,17,3,main,posterior,100,7,positive,exhaustive,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
6530,18,3,main,relevance,100,NA,positive,exhaustive,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
55149,19,1,main,prior,70,4,positive,exhaustive,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
17478,20,1,main,posterior,1,4,positive,exhaustive,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
4542,21,1,main,relevance,100,NA,positive,exhaustive,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
72850,22,2,reasoning,prior,33,7,NA,NA,NA,0.25,0.45,5,7,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
39311,23,2,reasoning,posterior,67,7,NA,NA,NA,0.55,0.75,5,7,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
74124,24,7,main,prior,25,1,neutral,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
12184,25,7,main,posterior,20,1,neutral,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
7020,26,7,main,relevance,36,NA,neutral,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
34895,27,2,main,prior,77,1,neutral,low_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
12824,28,2,main,posterior,80,2,neutral,low_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
8249,29,2,main,relevance,69,NA,neutral,low_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
68310,30,6,main,prior,58,3,positive,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
8398,31,6,main,posterior,66,4,positive,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
2986,32,6,main,relevance,68,NA,positive,high_certainty,positive,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
32413,33,2,attention,prior,83,2,NA,NA,NA,0.75,0.85,2,2,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
66984,34,4,main,prior,19,2,positive,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
12451,35,4,main,posterior,9,2,positive,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
5640,36,4,main,relevance,21,NA,positive,low_certainty,negative,NA,NA,NA,NA,1641178370999,29,male,Graduated Collage,English,1641179543342,1172343
