response_time,trialNr,StimID,TrialType,TaskType,ContextType,AnswerCertainty,AnswerPolarity,sliderResponse,confidence,p_min,p_max,certainty_min,certainty_max,experiment_start_time,age,gender,education,languages,comments,experiment_end_time,experiment_duration
42738,1,3,main,prior,negative,non_answer,N/A,47,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
20531,2,3,main,posterior,negative,non_answer,N/A,47,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
18482,3,3,main,relevance,negative,non_answer,N/A,3,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
66622,4,1,reasoning,prior,NA,NA,NA,46,2,0.4,0.6,1,4,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
46373,5,1,reasoning,posterior,NA,NA,NA,47,7,0.4,0.6,3,7,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
63771,6,6,main,prior,neutral,low_certainty,positive,38,2,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
46141,7,6,main,posterior,neutral,low_certainty,positive,57,3,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
16299,8,6,main,relevance,neutral,low_certainty,positive,64,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
34721,9,2,main,prior,positive,high_certainty,positive,72,5,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
19508,10,2,main,posterior,positive,high_certainty,positive,91,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
11821,11,2,main,relevance,positive,high_certainty,positive,92,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
152442,12,1,attention,prior,NA,NA,NA,0,6,0,0.05,6,6,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
73880,13,10,main,prior,negative,low_certainty,positive,51,3,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
26176,14,10,main,posterior,negative,low_certainty,positive,69,5,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
7791,15,10,main,relevance,negative,low_certainty,positive,61,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
66230,16,9,main,prior,positive,non_answer,N/A,90,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
38621,17,9,main,posterior,positive,non_answer,N/A,91,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
11053,18,9,main,relevance,positive,non_answer,N/A,0,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
49474,19,2,reasoning,prior,NA,NA,NA,3,5,0.25,0.45,5,7,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
22387,20,2,reasoning,posterior,NA,NA,NA,6,5,0.55,0.75,5,7,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
25151,21,5,main,prior,negative,high_certainty,positive,61,4,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
40294,22,5,main,posterior,negative,high_certainty,positive,95,7,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
6551,23,5,main,relevance,negative,high_certainty,positive,93,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
18706,24,11,main,prior,neutral,high_certainty,negative,49,4,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
19753,25,11,main,posterior,neutral,high_certainty,negative,10,6,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
17642,26,11,main,relevance,neutral,high_certainty,negative,93,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
38492,27,4,main,prior,negative,low_certainty,negative,7,2,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
18750,28,4,main,posterior,negative,low_certainty,negative,2,4,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
5622,29,4,main,relevance,negative,low_certainty,negative,64,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
41742,30,2,attention,prior,NA,NA,NA,84,2,0.75,0.85,2,2,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
66584,31,7,main,prior,neutral,low_certainty,negative,41,2,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
24253,32,7,main,posterior,neutral,low_certainty,negative,14,4,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
6140,33,7,main,relevance,neutral,low_certainty,negative,64,NA,NA,NA,NA,NA,1640744074980,62,male,Higher degree,English,Hi Alex!,1640745300592,1225612
