submission_id,AnswerCertainty,AnswerPolarity,ContextType,StimID,TaskType,TrialType,age,certainty_max,certainty_min,confidence,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,p_max,p_min,prolific_pid,prolific_session_id,prolific_study_id,response_time,sliderResponse,trialNr
3452,NA,NA,NA,1,prior,practice,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,23264,80,1
3452,NA,NA,NA,1,posterior,practice,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,156967,3,2
3452,NA,NA,NA,1,relevance,practice,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,6097,92,3
3452,exhaustive,negative,neutral,1,prior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,17687,50,1
3452,exhaustive,negative,neutral,1,posterior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,12184,60,2
3452,exhaustive,negative,neutral,1,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,6055,100,3
3452,NA,NA,NA,1,prior,reasoning,30,4,1,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,0.6,0.4,,,,14376,50,4
3452,NA,NA,NA,1,posterior,reasoning,30,7,3,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,0.6,0.4,,,,11161,50,5
3452,high_certainty,positive,negative,10,prior,main,30,NA,NA,3,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,161359,40,6
3452,high_certainty,positive,negative,10,posterior,main,30,NA,NA,3,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,18334,23,7
3452,high_certainty,positive,negative,10,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,3121,62,8
3452,low_certainty,positive,negative,3,prior,main,30,NA,NA,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,84160,20,9
3452,low_certainty,positive,negative,3,posterior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,64174661,50,10
3452,low_certainty,positive,negative,3,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,4569,19,11
3452,exhaustive,positive,positive,7,prior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,19471,60,12
3452,exhaustive,positive,positive,7,posterior,main,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,5504,100,13
3452,exhaustive,positive,positive,7,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,2712,100,14
3452,NA,NA,NA,1,prior,attenetion,30,6,6,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,1,0.95,,,,13488,100,15
3452,low_certainty,negative,positive,8,prior,main,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,12712,95,16
3452,low_certainty,negative,positive,8,posterior,main,30,NA,NA,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,10896,20,17
3452,low_certainty,negative,positive,8,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,3952,90,18
3452,high_certainty,negative,positive,6,prior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,10441,70,19
3452,high_certainty,negative,positive,6,posterior,main,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,6575,5,20
3452,high_certainty,negative,positive,6,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,4344,100,21
3452,NA,NA,NA,2,prior,reasoning,30,7,5,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,0.45,0.25,,,,36840,33,22
3452,NA,NA,NA,2,posterior,reasoning,30,7,5,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,0.75,0.55,,,,52416,75,23
3452,high_certainty,negative,negative,11,prior,main,30,NA,NA,4,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,8992,50,24
3452,high_certainty,negative,negative,11,posterior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,6624,30,25
3452,high_certainty,negative,negative,11,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,4280,95,26
3452,exhaustive,positive,neutral,2,prior,main,30,NA,NA,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,12488,90,27
3452,exhaustive,positive,neutral,2,posterior,main,30,NA,NA,7,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,4552,100,28
3452,exhaustive,positive,neutral,2,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,3352,100,29
3452,low_certainty,negative,neutral,9,prior,main,30,NA,NA,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,11664,50,30
3452,low_certainty,negative,neutral,9,posterior,main,30,NA,NA,6,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,7992,10,31
3452,low_certainty,negative,neutral,9,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,4400,96,32
3452,NA,NA,NA,2,prior,attention,30,2,2,2,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,0.05,0,,,,86808,0,33
3452,non_answer,N/A,neutral,12,prior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,11744,30,34
3452,non_answer,N/A,neutral,12,posterior,main,30,NA,NA,5,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,7113,30,35
3452,non_answer,N/A,neutral,12,relevance,main,30,NA,NA,NA,Graduated College,65069880,1649151615211,1649086545331,female,relevant,English,NA,NA,,,,2271,14,36
3451,NA,NA,NA,1,prior,practice,36,NA,NA,3,Graduated High-school,2860362,1649093362989,1649090502627,male,helpful,English,NA,NA,,,,269126,88,1
3451,NA,NA,NA,1,posterior,practice,36,NA,NA,6,Graduated High-school,2860362,1649093362989,1649090502627,male,helpful,English,NA,NA,,,,477199,10,2
