submission_id,AnswerCertainty,AnswerPolarity,ContextType,StimID,TaskType,TrialType,age,certainty_max,certainty_min,comments,confidence,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,p_max,p_min,prolific_pid,prolific_session_id,prolific_study_id,response_time,sliderResponse,trialNr
3051,NA,NA,NA,1,prior,practice,63,NA,NA,,2,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,96395,62,1
3051,NA,NA,NA,1,posterior,practice,63,NA,NA,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,34607,2,2
3051,NA,NA,NA,1,relevance,practice,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,13408,100,3
3051,non_answer,N/A,positive,3,prior,main,63,NA,NA,,4,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,41914,60,1
3051,non_answer,N/A,positive,3,posterior,main,63,NA,NA,,4,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,41700,60,2
3051,non_answer,N/A,positive,3,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,7542,4,3
3051,NA,NA,NA,1,prior,reasoning,63,4,1,,2,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,0.6,0.4,,,,72330,33,4
3051,NA,NA,NA,1,posterior,reasoning,63,7,3,,5,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,0.6,0.4,,,,38673,50,5
3051,high_certainty,negative,positive,1,prior,main,63,NA,NA,,7,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,44989,90,6
3051,high_certainty,negative,positive,1,posterior,main,63,NA,NA,,4,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,30148,70,7
3051,high_certainty,negative,positive,1,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,15729,79,8
3051,exhaustive,negative,neutral,6,prior,main,63,NA,NA,,5,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,32934,15,9
3051,exhaustive,negative,neutral,6,posterior,main,63,NA,NA,,7,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,15316,0,10
3051,exhaustive,negative,neutral,6,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,6126,100,11
3051,non_answer,N/A,negative,7,prior,main,63,NA,NA,,3,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,63553,35,12
3051,non_answer,N/A,negative,7,posterior,main,63,NA,NA,,3,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,18287,35,13
3051,non_answer,N/A,negative,7,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,6076,0,14
3051,NA,NA,NA,1,prior,attenetion,63,6,6,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,1,0.95,,,,57286,100,15
3051,exhaustive,negative,positive,2,prior,main,63,NA,NA,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,31896,90,16
3051,exhaustive,negative,positive,2,posterior,main,63,NA,NA,,7,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,12367,0,17
3051,exhaustive,negative,positive,2,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,5055,100,18
3051,exhaustive,positive,negative,8,prior,main,63,NA,NA,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,29319,6,19
3051,exhaustive,positive,negative,8,posterior,main,63,NA,NA,,7,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,9057,100,20
3051,exhaustive,positive,negative,8,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,3573,100,21
3051,NA,NA,NA,2,prior,reasoning,63,7,5,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,0.45,0.25,,,,49265,28,22
3051,NA,NA,NA,2,posterior,reasoning,63,7,5,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,0.75,0.55,,,,23123,67,23
3051,high_certainty,positive,neutral,11,prior,main,63,NA,NA,,5,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,27422,70,24
3051,high_certainty,positive,neutral,11,posterior,main,63,NA,NA,,7,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,15406,95,25
3051,high_certainty,positive,neutral,11,relevance,main,63,NA,NA,,NA,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,8494,100,26
3051,low_certainty,negative,negative,9,prior,main,63,NA,NA,,6,Graduated College,1258179,1645455244234,1645453986055,female,relevant,English,NA,NA,,,,36594,10,27
