StimID,AnswerCertainty,AnswerPolarity,ContextType,count,pos,pos_min,pos_q25,pos_q50,pos_q75,pos_max,pri,pri_min,pri_q25,pri_q50,pri_q75,pri_max,rel,rel_min,rel_q25,rel_q50,rel_q75,rel_max,bch,bch_min,bch_q25,bch_q50,bch_q75,bch_max,ech,ech_min,ech_q25,ech_q50,ech_q75,ech_max,klu,klu_min,klu_q25,klu_q50,klu_q75,klu_max,bfu,bfu_min,bfu_q25,bfu_q50,bfu_q75,bfu_max,Answer,Context,CriticalProposition,YourQuestion,YourQuestionIntro,AnswerIntro
1,exhaustive,negative,negative,13.00,"[0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.03, 0.05, 0.05, 0.1, 0.1, 0.21, 0.22]",0.00,0.02,0.03,0.10,0.22,"[0.0, 0.15, 0.2, 0.24, 0.3, 0.33, 0.39, 0.4, 0.45, 0.49, 0.76, 0.76, 0.79]",0.00,0.24,0.39,0.49,0.79,"[0.0, 0.53, 0.56, 0.74, 0.85, 0.9, 0.96, 0.96, 0.96, 0.99, 1.0, 1.0, 1.0]",0.00,0.74,0.96,0.99,1.00,"[0.0, 0.15, 0.15, 0.2, 0.22, 0.24, 0.3, 0.35, 0.37, 0.39, 0.54, 0.74, 0.78]",0.00,0.20,0.30,0.39,0.78,"[0.0, 0.0348727764, 0.2512917141, 0.4122953056, 0.4355311378, 0.5307158482000001, 0.6098403047000001, 0.6535997368, 0.6535997368, 0.660689604, 0.6845536373000001, 0.7205345149, 0.823359006]",0.00,0.41,0.61,0.66,0.82,"[0.0, 0.2680711561, 0.3205098295, 0.342054571, 0.4171795977, 0.4844716347, 0.6145447135000001, 0.6687291379, 0.6896918401000001, 0.739735468, 0.8832851499000001, 0.9869441199, 0.9929470793]",0.00,0.34,0.61,0.74,0.99,"[0.0, 0.6751054852, 0.7407407407000001, 0.7894736842000001, 0.8843537415, 0.9109311741, 0.9210526316, 0.9353741497, 0.9372071228, 0.9680795395, 0.9935553169, 0.9973149214, 1.0]",0.00,0.79,0.92,0.97,1.00,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,exhaustive,negative,neutral,10.00,"[0.0, 0.01, 0.03, 0.06, 0.06, 0.25, 0.4, 0.81, 0.98, 0.98]",0.00,0.04,0.15,0.71,0.98,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.55, 0.58, 0.73, 0.75]",0.50,0.50,0.50,0.57,0.75,"[0.65, 0.8, 0.88, 0.94, 0.94, 0.98, 0.98, 1.0, 1.0, 1.0]",0.65,0.90,0.96,0.99,1.00,"[0.1, 0.23, 0.44, 0.47, 0.48, 0.48, 0.48, 0.5, 0.54, 0.6900000000000001]",0.10,0.45,0.48,0.49,0.69,"[0.0290494055, 0.0301865117, 0.2799824351, 0.4838332053, 0.6725550808, 0.8056081422, 0.8585594575000001, 0.8585594575000001, 0.9119813181, 1.0]",0.03,0.33,0.74,0.86,1.00,"[0.064700732, 0.3283853104, 0.7874579235, 0.8089954552, 0.8435441315000001, 0.8615029438, 0.8615029438, 0.9, 0.9145553041, 0.9735428738]",0.06,0.79,0.85,0.89,0.97,"[0.3333333333, 0.6760728983000001, 0.8767123288, 0.9361702128, 0.9690721649, 0.9787234043, 0.9795918367, 0.9795918367, 0.9917355372, 1.0]",0.33,0.89,0.97,0.98,1.00,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,exhaustive,negative,positive,1.00,[0.0],0.00,0.00,0.00,0.00,0.00,[0.6900000000000001],0.69,0.69,0.69,0.69,0.69,[0.86],0.86,0.86,0.86,0.86,0.86,[0.6900000000000001],0.69,0.69,0.69,0.69,0.69,[0.8931734584000001],0.89,0.89,0.89,0.89,0.89,[0.9795666243],0.98,0.98,0.98,0.98,0.98,[1.0],1.00,1.00,1.00,1.00,1.00,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,exhaustive,positive,negative,9.00,"[0.63, 0.7000000000000001, 0.87, 0.9, 0.9, 0.95, 0.99, 1.0, 1.0]",0.63,0.87,0.90,0.99,1.00,"[0.15, 0.25, 0.3, 0.38, 0.42, 0.45, 0.5, 0.52, 0.81]",0.15,0.30,0.42,0.50,0.81,"[0.64, 0.77, 0.78, 0.8, 0.9, 1.0, 1.0, 1.0, 1.0]",0.64,0.78,0.90,1.00,1.00,"[0.18, 0.25, 0.28, 0.35, 0.5, 0.55, 0.6000000000000001, 0.65, 0.8]",0.18,0.28,0.50,0.60,0.80,"[0.0073699295, 0.1001629958, 0.3234433476, 0.3422825309, 0.4122953056, 0.441407351, 0.620678324, 0.992774454, 1.0]",0.01,0.32,0.41,0.62,1.00,"[0.3452690498, 0.4118999668, 0.4300093599, 0.6027996019, 0.9, 0.9285060583, 0.929531195, 0.9575876981, 0.9952733181]",0.35,0.43,0.90,0.93,1.00,"[0.6400409626, 0.6896551724000001, 0.8381226054, 0.9523809524, 0.956937799, 0.962962963, 0.9907120743, 1.0, 1.0]",0.64,0.84,0.96,0.99,1.00,It'll be on the beach.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,exhaustive,positive,neutral,3.00,"[0.86, 0.9, 1.0]",0.86,0.88,0.90,0.95,1.00,"[0.29, 0.5, 0.55]",0.29,0.40,0.50,0.53,0.55,"[0.77, 0.9, 1.0]",0.77,0.83,0.90,0.95,1.00,"[0.4, 0.45, 0.5700000000000001]",0.40,0.42,0.45,0.51,0.57,"[0.2844824347, 0.5310044064, 0.992774454]",0.28,0.41,0.53,0.76,0.99,"[0.7055608241, 0.8627527903000001, 0.9046741087]",0.71,0.78,0.86,0.88,0.90,"[0.8888888889000001, 0.9335080249, 1.0]",0.89,0.91,0.93,0.97,1.00,It'll be on the beach.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,exhaustive,positive,positive,11.00,"[0.87, 0.9, 0.91, 0.91, 0.98, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0]",0.87,0.91,0.98,1.00,1.00,"[0.19, 0.7000000000000001, 0.72, 0.79, 0.8, 0.8, 0.8200000000000001, 0.86, 0.9, 0.9, 1.0]",0.19,0.76,0.80,0.88,1.00,"[0.93, 0.95, 0.95, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.93,0.97,1.00,1.00,1.00,"[0.0, 0.09, 0.1, 0.1, 0.1, 0.11, 0.12, 0.21, 0.26, 0.3, 0.68]",0.00,0.10,0.11,0.23,0.68,"[0.0, 0.1440332749, 0.2436072287, 0.2529325013, 0.2854582778, 0.4427982691, 0.4689955936, 0.4689955936, 0.714010268, 0.7414827399, 0.8812908992]",0.00,0.25,0.44,0.59,0.88,"[0.0, 0.1019940761, 0.1147468135, 0.1399143096, 0.2561747604, 0.2953119505, 0.2953119505, 0.5429912046, 0.5632248187000001, 0.6942075016, 0.9728693979]",0.00,0.13,0.30,0.55,0.97,"[0.0, 0.5494505495, 0.5555555556, 0.6043956044000001, 0.8746355685, 0.9475218659, 0.964949624, 1.0, 1.0, 1.0, 1.0]",0.00,0.58,0.95,1.00,1.00,It'll be on the beach.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,high_certainty,negative,negative,13.00,"[0.0, 0.02, 0.05, 0.1, 0.1, 0.1, 0.16, 0.2, 0.31, 0.42, 0.85, 0.9, 0.95]",0.00,0.10,0.16,0.42,0.95,"[0.15, 0.25, 0.25, 0.3, 0.3, 0.31, 0.32, 0.34, 0.5, 0.6000000000000001, 0.64, 0.7000000000000001, 0.9]",0.15,0.30,0.32,0.60,0.90,"[0.61, 0.68, 0.79, 0.8, 0.8, 0.8, 0.8, 0.88, 0.9, 0.95, 0.95, 1.0, 1.0]",0.61,0.80,0.80,0.95,1.00,"[0.03, 0.05, 0.05, 0.15, 0.2, 0.2, 0.22, 0.22, 0.23, 0.25, 0.4, 0.5, 0.6000000000000001]",0.03,0.15,0.22,0.25,0.60,"[0.0316452466, 0.0387707058, 0.1408447111, 0.1825986365, 0.2014378197, 0.2490224996, 0.2588639037, 0.4122953056, 0.4122953056, 0.4353858641, 0.5948939421, 0.6698375819, 1.0]",0.03,0.18,0.26,0.44,1.00,"[0.0067405819, 0.0355486932, 0.053985891, 0.1791093327, 0.2819507943, 0.3205098295, 0.3205098295, 0.3634156451, 0.4863063902, 0.5048876115, 0.671154048, 0.9, 0.9295980514]",0.01,0.18,0.32,0.50,0.93,"[0.1278772379, 0.3703703704, 0.5263157895, 0.5760368664000001, 0.5926724138, 0.7407407407000001, 0.7407407407000001, 0.7638888889000001, 0.8333333333, 0.8771929825, 0.9387755102, 0.9411764706, 1.0]",0.13,0.58,0.74,0.88,1.00,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,high_certainty,negative,neutral,12.00,"[0.0, 0.0, 0.0, 0.09, 0.2, 0.2, 0.2, 0.25, 0.25, 0.32, 0.35, 0.76]",0.00,0.07,0.20,0.27,0.76,"[0.07, 0.48, 0.5, 0.5, 0.5, 0.52, 0.55, 0.6000000000000001, 0.6000000000000001, 0.6900000000000001, 0.79, 0.9]",0.07,0.50,0.54,0.62,0.90,"[0.55, 0.55, 0.66, 0.67, 0.6900000000000001, 0.75, 0.77, 0.86, 0.87, 0.92, 1.0, 1.0]",0.55,0.67,0.76,0.88,1.00,"[0.07, 0.2, 0.25, 0.25, 0.28, 0.3, 0.35, 0.4, 0.5, 0.54, 0.6000000000000001, 0.9]",0.07,0.25,0.32,0.51,0.90,"[0.0368825391, 0.0697953845, 0.0944640783, 0.1887218755, 0.2038052566, 0.2490224996, 0.2708463591, 0.2780719051, 0.3659236509, 0.4567036413, 0.4689955936, 1.0]",0.04,0.17,0.26,0.39,1.00,"[0.2142170136, 0.2371476679, 0.3440407876, 0.352442818, 0.419421268, 0.4728574236, 0.5755502082, 0.671154048, 0.8909551426000001, 0.9, 0.9290913086, 0.9995234901]",0.21,0.35,0.52,0.89,1.00,"[0.5656108597, 0.641025641, 0.6666666667000001, 0.7085020243, 0.75, 0.7954545455, 0.8333333333, 0.9113924051, 0.955566173, 1.0, 1.0, 1.0]",0.57,0.70,0.81,0.97,1.00,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,high_certainty,negative,positive,8.00,"[0.14, 0.23, 0.25, 0.25, 0.6000000000000001, 0.66, 0.7000000000000001, 0.8]",0.14,0.24,0.42,0.67,0.80,"[0.75, 0.8, 0.89, 0.9, 0.94, 0.95, 0.97, 1.0]",0.75,0.87,0.92,0.95,1.00,"[0.5, 0.6000000000000001, 0.7000000000000001, 0.75, 0.75, 0.8, 0.88, 0.93]",0.50,0.68,0.75,0.82,0.93,"[0.15, 0.2, 0.28, 0.3, 0.5, 0.65, 0.74, 0.75]",0.15,0.26,0.40,0.67,0.75,"[0.0, 0.0843228535, 0.2490224996, 0.3422825309, 0.4355311378, 0.5836194457, 0.5973737858, 0.8812908992]",0.00,0.21,0.39,0.59,0.88,"[0.2936458525, 0.3714468449, 0.6938893726, 0.8387429355, 0.980864876, 0.9933610944, 0.9992543137, 1.0]",0.29,0.61,0.91,0.99,1.00,"[0.625, 0.7894736842000001, 0.8760951189, 0.8888888889000001, 0.962962963, 0.9798798014, 0.9907618155, 1.0]",0.62,0.85,0.93,0.98,1.00,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
1,high_certainty,positive,negative,11.00,"[0.77, 0.8, 0.86, 0.88, 0.88, 0.89, 0.89, 0.92, 0.95, 0.95, 0.99]",0.77,0.87,0.89,0.94,0.99,"[0.1, 0.18, 0.3, 0.3, 0.42, 0.5, 0.5, 0.67, 0.8, 0.85, 0.85]",0.10,0.30,0.50,0.74,0.85,"[0.76, 0.8, 0.88, 0.89, 0.89, 0.9, 0.9, 0.9, 0.94, 0.95, 1.0]",0.76,0.89,0.90,0.92,1.00,"[0.1, 0.14, 0.15, 0.25, 0.27, 0.3, 0.46, 0.56, 0.59, 0.71, 0.78]",0.10,0.20,0.30,0.57,0.78,"[0.0603652717, 0.1801610876, 0.2219886965, 0.2780719051, 0.2970520876, 0.3234433476, 0.3813749411, 0.4355311378, 0.4520930297, 0.5127471826000001, 0.5290471688]",0.06,0.25,0.32,0.44,0.53,"[0.1550973224, 0.2680711561, 0.3373215026, 0.4001933126, 0.4470618117, 0.4728574236, 0.7843737019, 0.8956702525, 0.9210388381, 0.9815233284, 0.9961289947]",0.16,0.37,0.47,0.91,1.00,"[0.7012987013, 0.7017543860000001, 0.75, 0.7894736842000001, 0.8234519104, 0.9012539185, 0.9302325581, 0.9427609428, 0.9470304976, 0.9728692793, 0.9848484848]",0.70,0.77,0.90,0.94,0.98,There's a wedding canopy set up on the beach.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",the ceremony will be outdoors,Will they have the ceremony outdoors?,You ask your friend Clara:,Clara responds:
