submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,posterior_confidence,prior_confidence,posterior_sliderResponse,prior_sliderResponse,relevance_sliderResponse,first_order_belief_change,second_order_belief_change,entropy_change,kl_utility,bayes_factor_utility,beta_kl_utility,beta_entropy_change,beta_bayes_factor_utility,pure_second_order_belief_change,prior_beta_for_kl_a,prior_beta_for_kl_b,posterior_beta_for_kl_a,posterior_beta_for_kl_b,prior_beta_for_entropy_a,prior_beta_for_entropy_b,posterior_beta_for_entropy_a,posterior_beta_for_entropy_b,prior_beta_for_bf_a,prior_beta_for_bf_b,posterior_beta_for_bf_a,posterior_beta_for_bf_b,prior_beta_for_2nd_order_change_a,prior_beta_for_2nd_order_change_b,posterior_beta_for_2nd_order_change_a,posterior_beta_for_2nd_order_change_b,answer_class,belief_change,deviant,task_sensitivity
5796,relevant,2,low_certainty,negative,negative,1.0,0.5,7,4,0.0,0.19,0.99,0.19,3,0.7014714599,0.5034147529,1.0,0.9999999971,7.968e-07,14.0990628664,194.9341599247,8.037177321,31.0005980528,1.0,270.3341408767,1.0001776003,1.0007571379,1.0,1.0014242107,157.5850723102,668.5468872173,1.0,1328348.2974869297,4.7253307943,16.8816733861,1.0,215.5411641051,True,True,False,1.0
5796,relevant,3,exhaustive,negative,neutral,1.0,0.5,7,7,0.0,0.53,0.98,0.53,0,0.9974015886,0.9185797068,1.0,1.0,8.294000000000001e-07,14.1577164225,0.0,143.7470946646,127.587046212,1.0,270.3341408767,1.0007548316,1.000669379,1.0,1.0014242107,704025.0676680728,624324.2298188569,1.0,1328348.2974869297,114.7068169757,101.8343471294,1.0,215.5411641051,True,True,False,1.0
5796,relevant,4,exhaustive,positive,negative,1.0,0.5,7,5,0.99,0.45,0.97,0.54,2,0.9119813181,0.9145553041,0.9917355372,1.0,8.674e-07,14.0921364057,169.9564759042,33.6251478535,40.8751807099,267.6407994679,3.6933414088,1.0004940471,1.0006038353,1.0014099686,1.0000142421,4355.3814571438,5323.0217809536,1315064.8245120605,13284.4729748693,21.0631096904,25.5215785105,213.395752464,3.1454116411,True,True,False,1.0
5796,relevant,5,exhaustive,negative,negative,1.0,0.5,7,7,0.01,0.0,1.0,0.01,0,0.0807931359,1.0,1.0,0.6987989575,3.3000000000000004e-08,10.1874983673,0.0,1.0,270.3341408767,3.6933414088,267.6407994679,1.0,1.0014242107,1.0000142421,1.0014099686,1.0,1328348.2974869297,13284.4729748693,1315064.8245120605,1.0,215.5411641051,3.1454116411,213.395752464,True,True,False,1.0
5796,relevant,6,high_certainty,negative,neutral,1.0,0.5,7,5,0.07,0.34,0.73,0.27,2,0.5588950541000001,0.4994166608,0.8538899431,0.9999998784,6.379000000000001e-07,14.0921364057,169.9564759042,25.6501117116,48.8502168519,19.8533898614,251.4807510153,1.00037328,1.0007246024,1.0000996947,1.0013245159,3290.9771009531,6387.4261371443,92985.3108240851,1235363.9866628444,16.1587939883,30.4258942126,16.0178814874,200.5232826177,True,True,False,1.0
5796,relevant,8,low_certainty,negative,neutral,1.0,0.5,4,5,0.23,0.51,0.54,0.28,1,0.2217001382,0.4217182024,0.7130124777,0.9998672585,7.500000000000001e-08,9.0886552519,24.9776840206,37.9751675673,36.5251609961,9.518688336,29.5190870378,1.00055992,1.0005379624,1.0002149898,1.0007197484,4935.9656514297,4742.4375866677,190.5503506913,635.5816088362,23.7381909825,22.8464972185,5.5096109615,16.0973932189,True,True,False,1.0
5796,relevant,9,non_answer,positive,positive,1.0,0.5,7,7,0.95,0.96,0.92,0.01,0,0.044104768,0.0040096216,0.2083333333,0.1833273046,3.03e-08,10.1874983673,0.0,259.5607752416,11.7733656351,256.8674338329,14.4667070438,1.0013672422,1.0000569684,1.0013530001,1.0000712105,1275214.4055874525,53134.8918994772,1261930.9326125833,66418.3648743464,206.9595175409,9.5816465642,204.8141058998,11.7270582053,False,True,False,1.0
5796,relevant,10,high_certainty,positive,positive,1.0,0.5,7,5,0.95,0.74,0.8,0.21,2,0.5403494154,0.4022171509,0.8502024291,0.9999964978,6.332e-07,14.0921364057,169.9564759042,54.6502431369,19.8500854265,256.8674338329,14.4667070438,1.000812433,1.0002854494,1.0013530001,1.0000712105,7161.5383961921,2516.8648419053,1261930.9326125833,66418.3648743464,33.9926692687,12.5920189322,204.8141058998,11.7270582053,True,True,False,1.0
5796,relevant,11,low_certainty,positive,neutral,1.0,0.5,7,5,0.94,0.49,0.81,0.45,2,0.6722665226,0.7996628444,0.9386733417,1.0,7.174e-07,14.0921364057,169.9564759041,36.5251609961,37.9751675673,254.1740924241,17.1600484526,1.0005379624,1.00055992,1.001338758,1.0000854526,4742.4375866677,4935.9656514297,1248647.459637714,79701.8378492157,22.8464972185,23.7381909825,202.6686942588,13.8724698463,True,True,False,1.0
5796,relevant,12,low_certainty,positive,positive,1.0,0.5,5,5,0.5,0.5700000000000001,0.43,0.07,0,0.0141849628,0.0323435525,0.2456140351,0.3857223385,9.700000000000001e-09,7.2128079453,1e-10,42.3251872811,32.1751412823,37.2501642817,37.2501642817,1.000625793,1.0004720894,1.0005489412,1.0005489412,5516.5498457155,4161.8533923819,4839.2016190487,4839.2016190487,26.4132722745,20.1714159264,23.2923441005,23.2923441005,True,True,False,1.0
5807,helpful,1,low_certainty,negative,neutral,1.0,0.5,6,6,0.22,0.32,0.65,0.1,0,0.1442139548,0.0784215105,0.4006410256,0.9222719124,1.201e-07,10.0291825465,0.0,45.8568462965,96.3207983801,31.8390818289,110.3385628477,1.0004035328,1.0008575071,1.0002774288,1.0009836111,36283.7602617352,77101.8655561874,24945.397679943,88440.2281379796,32.4996992444,67.9368608943,22.6560432305,77.7805169082,True,True,False,1.0
5807,helpful,2,non_answer,positive,negative,1.0,0.5,6,6,0.32,0.19,0.47,0.13,0,0.2029099978,0.14697831,0.5015432099,0.9834191934,1.663e-07,10.2915264596,1e-10,27.6337524886,114.543892188,45.8568462965,96.3207983801,1.0002395976,1.0010214423,1.0004035328,1.0008575071,21543.8889054053,91841.7369125173,36283.7602617352,77101.8655561874,19.7029464264,80.7336137124,32.4996992444,67.9368608943,False,True,False,1.0
5807,helpful,3,low_certainty,positive,positive,1.0,0.5,6,6,0.85,0.8,0.86,0.05,0,0.1120877902,0.0274493917,0.2941176471,0.5776099508,8.49e-08,9.3361235505,0.0,113.1421157413,29.0355289353,120.1509979751,22.0266467015,1.0010088319,1.000252208,1.0010718839,1.000189156,90707.9006543381,22677.7251635845,96377.0819452342,17008.5438726884,79.749248111,20.6873120277,84.6710761179,15.7654840208,True,True,False,1.0
5807,helpful,4,low_certainty,negative,neutral,1.0,0.5,7,7,0.15,0.15,0.42,0.0,0,0.0,0.0,-2.2204460489999999e-16,0.0,0.0,0.6931471806,0.0,41.4001211315,229.9340197452,41.4001211315,229.9340197452,1.0002136316,1.0012105791,1.0002136316,1.0012105791,199253.0946230394,1129096.2028638902,199253.0946230394,1129096.2028638902,33.1811746158,183.3599894893,33.1811746158,183.3599894893,True,True,False,1.0
5807,helpful,5,exhaustive,negative,positive,1.0,0.5,7,7,0.05,0.81,0.98,0.76,0,0.4150745028,0.9901130029,0.987654321,1.0,3.543e-07,14.5181574194,0.0,219.1606541101,52.1734867666,14.4667070438,256.8674338329,1.0011536106,1.0002706,1.0000712105,1.0013530001,1075962.3109644132,252386.9865225166,66418.3648743465,1261930.932612583,174.7783429251,41.76282118,11.7270582053,204.8141058998,True,True,False,1.0
