submission_id,AnswerCertainty,AnswerPolarity,ContextType,StimID,TaskType,TrialType,age,certainty_max,certainty_min,comments,education,experimentType,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,p_max,p_min,prolific_pid,prolific_session_id,prolific_study_id,responseTime,sliderResponse,trialNr
816,NA,NA,NA,2,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,6511,63,1
816,NA,NA,NA,3,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,6848,30,2
816,NA,NA,NA,4,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,7616,2,3
816,NA,NA,NA,5,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,7320,98,4
816,exhaustive,positive,neutral,5,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,14801,100,1
816,NA,NA,NA,3,relevance,reasoning,52,10,0,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,1,0.9,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,10775,100,2
816,high_certainty,negative,positive,8,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,13352,55,3
816,high_certainty,positive,negative,6,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,18384,44,4
816,low_certainty,negative,positive,10,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,15552,5,5
816,NA,NA,NA,3,relevance,attention,52,6,6,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,1,0.95,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,13176,100,6
816,exhaustive,negative,negative,9,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,14424,100,7
816,exhaustive,positive,positive,7,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,31184,96,8
816,NA,NA,NA,4,relevance,reasoning,52,10,0,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,0.1,0,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,17024,0,9
816,low_certainty,negative,neutral,12,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,12784,16,10
